Identifier	F519_33h	F519_41h	F519_45h	F519_49h	F519_53h	F519_57h	F519_61h	F519_65h	F519_69h	F521_33h	F521_41h	F521_45h	F521_49h	F521_53h	F521_57h	F521_61h	F521_65h	F521_69h	F522_33h	F522_41h	F522_45h	F522_49h	F522_53h	F522_57h	F522_61h	F522_65h	F522_69h
SCO6577	5.815287385957438	5.590827794435995	5.5993291620469545	5.579799537131202	5.520230331495977	5.643893484523332	5.75899543801458	5.739328646008204	5.306261788498412	6.109996644770923	5.941780619237935	5.473771590078151	5.687892231103033	5.4892133848665665	5.561171209911991	5.429382264520885	5.6109046601436265	5.922667028276539	6.0413883997555	5.9862096171548975	5.793173022461128	5.601145676976481	5.671753643803341	5.394075656185174	6.135400440800864	6.010584035530252	5.762317601590431
SCO6578	4.970640690522899	5.8707786712354615	6.742439921652226	6.560401532942675	6.228739322267154	6.467808817740957	6.858712369136318	6.575671307132506	4.432723459543865	7.388838651476729	4.778244785609631	6.976131543426585	5.741354893902635	6.155481691843414	6.468793325357941	6.380063766361379	6.147955955147474	6.769929060341717	5.585752979454953	5.752040783349006	5.877708218393504	6.968710465028786	6.505969099860688	5.854859420026611	6.353346050274617	6.523175877723292	6.270478380104496
SCO6579	5.5848251925485535	5.788252189750539	6.61461109746662	6.153990069860264	6.365338971061983	6.350145615594128	6.872911001329313	6.6738894629932695	4.774436943652014	6.784447506249715	5.150298094765359	6.6432896307761915	5.958560302233538	6.4369651747344765	6.553248304671476	6.140263269831742	6.5498806156122455	6.554187443262021	5.958560302233538	5.506392384484264	5.793173022461128	6.625696837655517	6.372604898372746	5.9862096171548975	6.57734344424946	6.502197847755372	6.325292931823693
SCO6580	6.215045209991891	6.077380970024377	6.066496080455137	6.109996644770923	6.277070156344795	6.467808817740957	6.351518973077545	6.403336205479141	6.024433017690607	6.61836379921707	5.601145676976481	6.445680804713557	6.208357178021914	6.580021768565725	6.6519075987514995	6.53414514672702	6.208357178021914	6.7055982636813045	6.211028187444225	6.274849969225035	5.877708218393504	6.506229751438683	6.003811583886943	5.956550710357289	6.33423305600214	6.097258960839424	6.410111972540922
SCO6581	7.659275596592966	7.38947505497408	7.426755859081944	7.1549986159405154	7.357235128823266	7.309628165652741	7.207390544089473	7.527692030278136	7.087681296972019	7.623418033692348	7.18571526935347	7.13216080212807	7.2221203000726595	7.380940939756403	6.850480803322548	7.161205676823093	7.4853821343073355	7.463760472122026	7.303481588081072	7.1004264769304335	7.137322973869366	7.32740096368981	7.041794872738395	7.236300571967351	7.316591380614611	7.156124295270832	7.272797859780757
SCO6582	8.418965097566993	8.212839274840213	8.556494273682468	8.18092585305312	8.277800687576237	8.26398709838737	8.421705340457248	8.633952782757934	7.775747589645326	8.956654710082397	7.959624205689035	8.6830361213481	7.838243643908551	8.359386264638827	8.473543018330595	8.264151050549863	8.309750342128162	8.585359736068714	8.244155169493375	7.92256936493907	8.119090061156571	8.439442541224413	8.365195009171977	7.9583521322372475	8.546403113395424	8.087989190983556	8.537750127064685
SCO6583	6.819358829276553	6.328206802325424	6.432833883859892	6.593868010294917	6.631074129974298	6.763767685689362	6.780102687811672	6.876828631087851	6.181137271308708	6.646683884983598	6.488408296398223	7.055869902368803	6.706760828870631	6.633621321617959	6.625696837655517	6.4200335305663625	6.690535291552193	6.823995791951781	6.751301480931575	6.473282410739215	6.654060274144652	6.486248025641307	6.299385494950538	6.468145642886503	6.891799955034704	6.523175877723292	6.294059339876738
SCO6584	6.422512984859994	6.415149857221306	6.742439921652226	6.837762106820505	6.685960648327177	6.71225720631338	6.981139475464892	6.9404320767729155	4.774436943652014	7.292477190266671	5.672716429304561	7.161205676823093	6.445680804713557	6.496690234492521	6.981252921812982	6.5205006672986645	6.690535291552193	7.084015397583324	6.1761024169449925	6.021726628416632	6.058472697174929	7.32740096368981	6.689639154517736	6.390591225172102	7.007518654501038	6.790188189771775	6.836663977354238
SCO6585	5.871995436991128	6.415149857221306	6.8752786312759095	6.560401532942675	6.365338971061983	5.953600636412571	6.490310877524259	6.691187880352373	6.101047769887839	7.231157798030306	6.326820191532949	7.238170833409925	6.033279847098773	6.30639323209172	6.355464873635878	6.730245474892611	6.17242424538251	6.554187443262021	6.1761024169449925	6.139566159911643	6.365724771652551	6.998518415141181	6.351678475490596	6.350145615594128	6.289950341739882	6.502197847755372	6.52856380176398
SCO6586	5.647150069609985	5.6819164717022	6.015021115600103	5.785288531861613	5.428602204686521	5.614779358651557	6.142239386230162	5.925187154613238	5.514722180870899	6.051410228722366	5.394075656185174	6.154867490659428	5.590827794435995	5.833545455106476	6.114575840086631	5.5465084568866345	5.8150105277821424	6.428603852324575	5.235845088756106	5.211015059146941	5.793173022461128	6.308339464611973	5.753826512381748	5.211015059146941	6.00735874726224	5.958560302233538	6.051410228722366
